"occ_code","occ_title","current_employment","annual_openings","projected_growth_pct","annual_mean_wage","median_wage","entry_edu","opportunity_label","opportunity_score"
"43-3031","Bookkeeping, Accounting, and Auditing Clerks",1373680,170000,-5.8,53560,49210,"Some college, no degree","Declining",44.0
"27-3043","Writers and Authors",47940,13400,3.6,86090,72270,"Bachelor's degree","Stable",44.0
"53-7121","Tank Car, Truck, and Ship Loaders",10700,1300,4.3,59970,58070,"No formal educational credential","Stable",43.8
"17-1011","Architects, Except Landscape and Naval",106770,7800,3.9,106260,96690,"Bachelor's degree","Stable",43.7
"31-9099","Healthcare Support Workers, All Other",109740,14400,3.5,50810,46050,"High school diploma or equivalent","Stable",43.6
"19-4042","Environmental Science and Protection Technicians, Including Health",34670,5600,4,60800,49490,"Associate's degree","Stable",43.4
"29-1021","Dentists, General",124390,3900,4.1,191350,172790,"Doctoral or professional degree","Stable",43.3
"51-2051","Fiberglass Laminators and Fabricators",16170,2100,4.2,49550,45760,"High school diploma or equivalent","Stable",43.3
"29-1241","Ophthalmologists, Except Pediatric",8950,300,4.3,304650,NULL,"Doctoral or professional degree","Stable",43.2
"21-1029","Social Workers, All Other",62930,7000,3.9,75910,69480,"Bachelor's degree","Stable",43.2
"47-2072","Pile Driver Operators",2310,300,4.3,80710,70510,"High school diploma or equivalent","Stable",43.2
"23-1022","Arbitrators, Mediators, and Conciliators",9210,300,4.3,91010,67710,"Bachelor's degree","Stable",43.2
"53-2022","Airfield Operations Specialists",15190,1600,4.2,63610,56750,"High school diploma or equivalent","Stable",43.0
"27-4032","Film and Video Editors",25610,3600,4,86130,70980,"Bachelor's degree","Stable",42.2
"29-1222","Physicians, Pathologists",11110,400,4.2,285420,NULL,"Doctoral or professional degree","Stable",42.2
"47-2161","Plasterers and Stucco Masons",19310,1900,4.1,62050,56020,"No formal educational credential","Stable",42.1
"19-1022","Microbiologists",18940,1700,4.1,97600,87330,"Bachelor's degree","Stable",42.0
"51-9061","Inspectors, Testers, Sorters, Samplers, and Weighers",597370,69900,0,53450,47460,"High school diploma or equivalent","Low Opportunity",41.9
"13-2020","Property Appraisers and Assessors",57070,6300,3.8,75770,65420,"Bachelor's degree","Stable",41.8
"51-9011","Chemical Equipment Operators and Tenders",139630,14400,3.3,60710,57090,"High school diploma or equivalent","Stable",41.6
"25-1041","Agricultural Sciences Teachers, Postsecondary",8920,800,4.1,102050,86350,"Doctoral or professional degree","Stable",41.5
"19-4099","Life, Physical, and Social Science Technicians, All Other",73910,10600,3.5,66280,60130,"Associate's degree","Stable",41.4
"29-1212","Cardiologists",17290,600,4.1,454940,NULL,"Doctoral or professional degree","Stable",41.4
"43-5031","Public Safety Telecommunicators",102500,10700,3.5,56740,50730,"High school diploma or equivalent","Stable",41.4
"29-1242","Orthopedic Surgeons, Except Pediatric",14100,400,4.1,373570,NULL,"Doctoral or professional degree","Stable",41.2
"53-6021","Parking Attendants",137880,18500,3,34990,34600,"No formal educational credential","Stable",41.1
"43-4031","Court, Municipal, and License Clerks",179750,18500,3,52320,47700,"High school diploma or equivalent","Stable",41.1
"29-1022","Oral and Maxillofacial Surgeons",4910,200,4.1,346490,NULL,"Doctoral or professional degree","Stable",41.1
"19-4031","Chemical Technicians",57540,6700,3.7,63900,57790,"Associate's degree","Stable",41.0
"19-2012","Physicists",20430,1700,4,171180,166290,"Doctoral or professional degree","Stable",41.0
"17-2081","Environmental Engineers",38340,3000,3.9,112910,104170,"Bachelor's degree","Stable",40.8
"37-3012","Pesticide Handlers, Sprayers, and Applicators, Vegetation",27050,4100,3.8,47070,45200,"High school diploma or equivalent","Stable",40.5
"19-4021","Biological Technicians",69620,9100,3.5,61380,52000,"Bachelor's degree","Stable",40.5
"15-2099","Mathematical Science Occupations, All Other",3720,300,4,91550,71490,"Bachelor's degree","Stable",40.2
"25-1043","Forestry and Conservation Science Teachers, Postsecondary",1520,100,4,102450,100830,"Doctoral or professional degree","Stable",40.1
"47-2131","Insulation Workers, Floor, Ceiling, and Wall",44440,3400,3.8,54740,48680,"No formal educational credential","Stable",40.0
"49-3031","Bus and Truck Mechanics and Diesel Engine Specialists",289960,26500,2.4,64320,60640,"High school diploma or equivalent","Stable",39.9
"33-9011","Animal Control Workers",12070,1300,3.9,48440,45830,"High school diploma or equivalent","Stable",39.8
"29-1249","Surgeons, All Other",25140,600,3.9,373930,NULL,"Doctoral or professional degree","Stable",39.4
"53-4099","Rail Transportation Workers, All Other",1120,200,3.9,60140,49330,"High school diploma or equivalent","Stable",39.1
"33-9099","Protective Service Workers, All Other",81500,23300,2.5,48070,41600,"High school diploma or equivalent","Stable",39.0
"33-2021","Fire Inspectors and Investigators",13800,1500,3.8,78670,78060,"Postsecondary nondegree award","Stable",38.9
"27-2091","Disc Jockeys, Except Radio",7920,1500,3.8,NULL,NULL,"High school diploma or equivalent","Stable",38.9
"41-9021","Real Estate Brokers",46100,9700,3.3,83950,72280,"High school diploma or equivalent","Stable",38.8
"25-4011","Archivists",7970,1100,3.8,70640,61570,"Master's degree","Stable",38.7
"53-6099","Transportation Workers, All Other",13550,1200,3.8,50890,39630,"High school diploma or equivalent","Stable",38.7
"53-3051","Bus Drivers, School",402930,61000,0.2,48430,47040,"High school diploma or equivalent","Stable",38.6
"25-1066","Psychology Teachers, Postsecondary",41530,4000,3.6,93860,80330,"Doctoral or professional degree","Stable",38.4
"51-9082","Medical Appliance Technicians",11280,1500,3.7,52730,47060,"High school diploma or equivalent","Stable",37.9
"33-1021","First-Line Supervisors of Firefighting and Prevention Workers",99140,6500,3.4,96930,92430,"Postsecondary nondegree award","Stable",37.9
"31-1132","Orderlies",52440,7800,3.3,40660,37700,"High school diploma or equivalent","Stable",37.7
"29-9099","Healthcare Practitioners and Technical Workers, All Other",35010,2600,3.6,76720,64030,"Postsecondary nondegree award","Stable",37.6
"53-6041","Traffic Technicians",7860,800,3.7,62050,58480,"High school diploma or equivalent","Stable",37.5
"19-3091","Anthropologists and Archeologists",8990,800,3.7,75620,64910,"Master's degree","Stable",37.5
"27-4011","Audio and Video Technicians",70230,7300,3.3,64630,54830,"Postsecondary nondegree award","Stable",37.4
"37-3013","Tree Trimmers and Pruners",55160,7400,3.3,55970,50430,"High school diploma or equivalent","Stable",37.4
"47-4051","Highway Maintenance Workers",154960,12300,3,53080,49070,"High school diploma or equivalent","Stable",37.4
"39-3099","Entertainment Attendants and Related Workers, All Other",7060,2200,3.6,34980,34550,"High school diploma or equivalent","Stable",37.3
"13-2099","Financial Specialists, All Other",132130,10300,3.1,93810,80190,"Bachelor's degree","Stable",37.2
"19-1099","Life Scientists, All Other",7460,400,3.7,107860,87800,"Bachelor's degree","Stable",37.2
"51-9192","Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",14760,1600,3.6,44600,41460,"High school diploma or equivalent","Stable",37.0
"37-1012","First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",130760,23200,2.3,60960,56170,"High school diploma or equivalent","Stable",36.9
"49-9099","Installation, Maintenance, and Repair Workers, All Other",176300,21500,2.4,53850,48640,"High school diploma or equivalent","Stable",36.9
"47-4090","Miscellaneous Construction and Related Workers",28380,3100,3.5,55130,48120,"High school diploma or equivalent","Stable",36.9
"49-3022","Automotive Glass Installers and Repairers",20310,1400,3.6,50430,47260,"High school diploma or equivalent","Stable",36.8
"27-1025","Interior Designers",71500,7800,3.2,74540,63490,"Bachelor's degree","Stable",36.7
"43-4181","Reservation and Transportation Ticket Agents and Travel Clerks",118710,14400,2.8,49630,41460,"High school diploma or equivalent","Stable",36.6
"19-3041","Sociologists",2260,300,3.6,114920,101690,"Master's degree","Stable",36.2
"47-2121","Glaziers",58480,5100,3.3,59720,55440,"High school diploma or equivalent","Stable",36.1
"17-1012","Landscape Architects",19600,1700,3.5,88780,79660,"Bachelor's degree","Stable",36.0
"19-3051","Urban and Regional Planners",44230,3400,3.4,94750,83720,"Master's degree","Stable",36.0
"33-1012","First-Line Supervisors of Police and Detectives",154610,10900,2.9,112190,105980,"High school diploma or equivalent","Stable",35.5
"19-1031","Conservation Scientists",25950,2500,3.4,77130,67950,"Bachelor's degree","Stable",35.5
"47-2021","Brickmasons and Blockmasons",52550,5600,3.2,68280,60800,"High school diploma or equivalent","Stable",35.4
"41-4011","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",284800,27200,1.9,119730,100070,"Bachelor's degree","Stable",35.3
"29-2036","Medical Dosimetrists",3410,200,3.5,148500,138110,"Bachelor's degree","Stable",35.1
"49-2092","Electric Motor, Power Tool, and Related Repairers",14450,1700,3.4,58610,53990,"High school diploma or equivalent","Stable",35.0
"25-2021","Elementary School Teachers, Except Special Education",1388390,91000,-2,72650,62340,"Bachelor's degree","Low Opportunity",34.6
"53-4041","Subway and Streetcar Operators",10200,900,3.4,77170,84830,"High school diploma or equivalent","Stable",34.5
"39-4021","Funeral Attendants",31090,5700,3.1,37190,34610,"High school diploma or equivalent","Stable",34.4
"47-2071","Paving, Surfacing, and Tamping Equipment Operators",41820,4000,3.2,59000,51650,"High school diploma or equivalent","Stable",34.4
"29-1216","General Internal Medicine Physicians",67150,2100,3.3,267200,236350,"Doctoral or professional degree","Stable",34.3
"13-2071","Credit Counselors",27770,2200,3.3,57210,50480,"Bachelor's degree","Stable",34.3
"25-1192","Family and Consumer Sciences Teachers, Postsecondary",2770,200,3.4,81940,77280,"Doctoral or professional degree","Stable",34.1
"29-1125","Recreational Therapists",14930,1300,3.3,67630,60280,"Bachelor's degree","Stable",33.8
"27-1021","Commercial and Industrial Designers",33490,2500,3.2,93260,79450,"Bachelor's degree","Stable",33.5
"49-9096","Riggers",22530,2500,3.2,66810,62060,"High school diploma or equivalent","Stable",33.5
"39-4012","Crematory Operators",2970,600,3.3,45670,42880,"High school diploma or equivalent","Stable",33.4
"19-2042","Geoscientists, Except Hydrologists and Geographers",23470,2000,3.2,116150,99240,"Bachelor's degree","Stable",33.2
"25-1064","Geography Teachers, Postsecondary",3330,300,3.3,102350,86730,"Doctoral or professional degree","Stable",33.2
"29-2081","Opticians, Dispensing",73530,6800,2.9,51770,46560,"High school diploma or equivalent","Stable",33.1
"27-1024","Graphic Designers",197830,20000,2.1,70560,61300,"Bachelor's degree","Stable",33.0
"39-4031","Morticians, Undertakers, and Funeral Arrangers",25100,3200,3.1,58160,49800,"Associate's degree","Stable",32.9
"29-1211","Anesthesiologists",38760,1300,3.2,360570,NULL,"Doctoral or professional degree","Stable",32.8
"53-7021","Crane and Tower Operators",42890,3800,3,72130,66370,"High school diploma or equivalent","Stable",32.3
"29-2031","Cardiovascular Technologists and Technicians",62960,3800,3,76940,67260,"Associate's degree","Stable",32.3
"31-2022","Physical Therapist Aides",48150,6600,2.8,36430,34520,"High school diploma or equivalent","Stable",32.0
"33-1091","First-Line Supervisors of Security Workers",81480,7000,2.7,59900,58610,"High school diploma or equivalent","Stable",31.2
"51-9051","Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",14280,1900,3,50940,47010,"High school diploma or equivalent","Stable",31.1
"29-1229","Physicians, All Other",342720,9600,2.5,262040,NULL,"Doctoral or professional degree","Stable",30.8
"21-1092","Probation Officers and Correctional Treatment Specialists",89390,7900,2.6,73130,64520,"Bachelor's degree","Stable",30.7
"29-2010","Clinical Laboratory Technologists and Technicians",332940,22600,1.7,67350,61890,"Bachelor's degree","Stable",30.6
"39-3031","Ushers, Lobby Attendants, and Ticket Takers",121770,30800,1.2,33080,31150,"No formal educational credential","Stable",30.5
"29-2033","Nuclear Medicine Technologists",17080,900,3,105160,97020,"Associate's degree","Stable",30.5
"47-2211","Sheet Metal Workers",119770,10600,2.4,67850,60850,"High school diploma or equivalent","Stable",30.4
"25-1082","Library Science Teachers, Postsecondary",3630,400,3,88110,78630,"Doctoral or professional degree","Stable",30.2
"45-1011","First-Line Supervisors of Farming, Fishing, and Forestry Workers",27960,8500,2.5,62730,59330,"High school diploma or equivalent","Stable",30.1
"49-9098","Helpers--Installation, Maintenance, and Repair Workers",95580,11800,2.3,41490,38860,"High school diploma or equivalent","Stable",30.1
"33-3052","Transit and Railroad Police",4390,200,3,91810,82320,"High school diploma or equivalent","Stable",30.1
"47-5023","Earth Drillers, Except Oil and Gas",19450,1700,2.9,62830,59600,"High school diploma or equivalent","Stable",30.0
"25-1053","Environmental Science Teachers, Postsecondary",6690,700,2.9,103610,87710,"Doctoral or professional degree","Stable",29.4
"21-2021","Directors, Religious Activities and Education",22160,13800,2.1,62100,54840,"Bachelor's degree","Stable",29.3
"13-2072","Loan Officers",274330,20300,1.7,87790,74180,"Bachelor's degree","Stable",29.2
"29-1215","Family Medicine Physicians",107510,3300,2.7,255820,238380,"Doctoral or professional degree","Stable",29.0
"49-3043","Rail Car Repairers",21350,1500,2.8,70680,65680,"High school diploma or equivalent","Stable",28.9
"27-3099","Media and Communication Workers, All Other",19590,3000,2.7,83860,71770,"High school diploma or equivalent","Stable",28.8
"25-3041","Tutors",175070,37100,0.6,48050,40090,"Some college, no degree","Stable",28.3
"49-9031","Home Appliance Repairers",32150,3100,2.6,56040,49410,"High school diploma or equivalent","Stable",27.9
"29-1214","Emergency Medicine Physicians",32880,1000,2.7,317480,NULL,"Doctoral or professional degree","Stable",27.6
"47-5071","Roustabouts, Oil and Gas",44970,4300,2.5,49200,47510,"No formal educational credential","Stable",27.6
"29-1224","Radiologists",26770,800,2.7,381530,NULL,"Doctoral or professional degree","Stable",27.5
"29-2051","Dietetic Technicians",31560,4000,2.5,40630,37040,"Associate's degree","Stable",27.4
"25-1061","Anthropology and Archeology Teachers, Postsecondary",5240,500,2.7,106880,95770,"Doctoral or professional degree","Stable",27.3
"49-3053","Outdoor Power Equipment and Other Small Engine Mechanics",36060,3500,2.5,49990,46560,"High school diploma or equivalent","Stable",27.1
"39-6012","Concierges",49240,6800,2.3,42510,37320,"High school diploma or equivalent","Stable",27.1
"51-3023","Slaughterers and Meat Packers",69950,8400,2.2,41770,39790,"No formal educational credential","Stable",27.0
"53-7072","Pump Operators, Except Wellhead Pumpers",9780,1500,2.6,63960,60020,"High school diploma or equivalent","Stable",26.9
"17-2041","Chemical Engineers",21070,1100,2.6,129980,121860,"Bachelor's degree","Stable",26.7
"47-2051","Cement Masons and Concrete Finishers",206170,14300,1.8,60050,54660,"No formal educational credential","Stable",26.6
"17-2199","Engineers, All Other",154070,9300,2.1,125330,117750,"Bachelor's degree","Stable",26.6
"25-1051","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",9900,1000,2.6,116020,101390,"Doctoral or professional degree","Stable",26.6
"37-2019","Building Cleaning Workers, All Other",17210,2600,2.5,46420,42360,"No formal educational credential","Stable",26.6
"41-3041","Travel Agents",55110,7100,2.2,54660,48450,"High school diploma or equivalent","Stable",26.3
"47-2043","Floor Sanders and Finishers",3720,400,2.6,52460,49150,"No formal educational credential","Stable",26.2
"25-1199","Postsecondary Teachers, All Other",149840,13500,1.8,90630,78490,"Doctoral or professional degree","Stable",26.1
"25-9031","Instructional Coordinators",227760,21900,1.3,80920,74720,"Master's degree","Stable",26.1
"25-1054","Physics Teachers, Postsecondary",13090,1300,2.5,111460,97360,"Doctoral or professional degree","Stable",25.8
"27-4021","Photographers",51760,12700,1.8,55410,42520,"High school diploma or equivalent","Stable",25.6
"23-1012","Judicial Law Clerks",13290,1000,2.5,72950,60400,"Doctoral or professional degree","Stable",25.6
"23-2011","Paralegals and Legal Assistants",392880,39300,0.2,69700,61010,"Associate's degree","Stable",25.6
"25-1022","Mathematical Science Teachers, Postsecondary",47670,4400,2.3,91550,79350,"Doctoral or professional degree","Stable",25.6
"23-1023","Judges, Magistrate Judges, and Magistrates",24030,900,2.5,143830,156210,"Doctoral or professional degree","Stable",25.5
"31-2012","Occupational Therapy Aides",4310,600,2.5,44110,37370,"High school diploma or equivalent","Stable",25.4
"53-5011","Sailors and Marine Oilers",31670,3900,2.3,56830,49610,"No formal educational credential","Stable",25.3
"37-3019","Grounds Maintenance Workers, All Other",13630,1900,2.4,48830,43410,"No formal educational credential","Stable",25.1
"41-1011","First-Line Supervisors of Retail Sales Workers",1121800,125100,-5,53380,47320,"High school diploma or equivalent","Declining",25.1
"43-2099","Communications Equipment Operators, All Other",1200,100,2.5,62130,49910,"High school diploma or equivalent","Stable",25.1
"25-4022","Librarians and Media Collections Specialists",133790,13500,1.7,72840,64320,"Master's degree","Stable",25.1
"49-3021","Automotive Body and Related Repairers",149310,14600,1.6,59690,51680,"High school diploma or equivalent","Stable",24.8
"25-1193","Recreation and Fitness Studies Teachers, Postsecondary",12630,1100,2.4,86620,75890,"Doctoral or professional degree","Stable",24.7
"25-1062","Area, Ethnic, and Cultural Studies Teachers, Postsecondary",11300,1100,2.4,98330,84290,"Doctoral or professional degree","Stable",24.7
"45-2021","Animal Breeders",1330,1200,2.4,57010,52000,"High school diploma or equivalent","Stable",24.7
"51-9197","Tire Builders",20770,2500,2.3,57160,55580,"High school diploma or equivalent","Stable",24.5
"27-1027","Set and Exhibit Designers",10630,2500,2.3,83160,66280,"Bachelor's degree","Stable",24.5
"25-1081","Education Teachers, Postsecondary",60830,5600,2.1,79350,72090,"Doctoral or professional degree","Stable",24.4
"51-9083","Ophthalmic Laboratory Technicians",18660,2400,2.3,43190,38420,"High school diploma or equivalent","Stable",24.4
"51-8021","Stationary Engineers and Boiler Operators",28250,3800,2.2,83960,75190,"High school diploma or equivalent","Stable",24.3
"17-3022","Civil Engineering Technologists and Technicians",68520,5500,2.1,68990,64200,"Associate's degree","Stable",24.3
"51-9199","Production Workers, All Other",251700,31600,0.5,44380,38820,"High school diploma or equivalent","Stable",24.0
"45-2099","Agricultural Workers, All Other",3620,1500,2.3,45510,40390,"No formal educational credential","Stable",23.9
"21-2011","Clergy",57200,23000,1,66860,60820,"Bachelor's degree","Stable",23.8
"25-1113","Social Work Teachers, Postsecondary",12610,1300,2.3,83940,76210,"Doctoral or professional degree","Stable",23.8
"15-1231","Computer Network Support Specialists",146190,9600,1.8,81870,73340,"Associate's degree","Stable",23.8
"25-2031","Secondary School Teachers, Except Special and Career/Technical Education",1065210,66200,-1.6,76320,64580,"Bachelor's degree","Low Opportunity",23.7
"47-3014","Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",7490,800,2.3,42440,38140,"No formal educational credential","Stable",23.5
"25-1112","Law Teachers, Postsecondary",20060,2200,2.2,144770,126650,"Doctoral or professional degree","Stable",23.3
"23-2093","Title Examiners, Abstractors, and Searchers",48580,5400,2,62350,54980,"High school diploma or equivalent","Stable",23.2
"25-1052","Chemistry Teachers, Postsecondary",19980,1900,2.2,105210,86220,"Doctoral or professional degree","Stable",23.1
"51-9041","Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",58770,5200,2,47260,45130,"High school diploma or equivalent","Stable",23.1
"27-2042","Musicians and Singers",36180,19400,1.1,NULL,NULL,"No formal educational credential","Stable",22.6
"25-1122","Communications Teachers, Postsecondary",29420,2700,2.1,90010,77800,"Doctoral or professional degree","Stable",22.6
"25-9099","Educational Instruction and Library Workers, All Other",118590,12500,1.5,59060,48400,"Bachelor's degree","Stable",22.5
"25-1121","Art, Drama, and Music Teachers, Postsecondary",93560,9000,1.7,94700,80190,"Master's degree","Stable",22.4
"19-3093","Historians",3450,300,2.2,81240,74050,"Master's degree","Stable",22.2
"19-2011","Astronomers",2120,100,2.2,132920,132170,"Doctoral or professional degree","Stable",22.1
"39-1013","First-Line Supervisors of Gambling Services Workers",26010,3300,2,64830,61590,"High school diploma or equivalent","Stable",22.0
"25-1067","Sociology Teachers, Postsecondary",11850,1100,2.1,96980,82540,"Doctoral or professional degree","Stable",21.7
"25-1063","Economics Teachers, Postsecondary",11560,1200,2.1,138850,119980,"Doctoral or professional degree","Stable",21.7
"27-1012","Craft Artists",4580,1000,2.1,49740,38480,"No formal educational credential","Stable",21.6
"29-1299","Healthcare Diagnosing or Treating Practitioners, All Other",28630,2400,2,127660,113730,"Master's degree","Stable",21.4
"27-1022","Fashion Designers",21450,2300,2,91230,80690,"Bachelor's degree","Stable",21.4
"27-1029","Designers, All Other",9480,2200,2,79090,66220,"Bachelor's degree","Stable",21.3
"43-3021","Billing and Posting Clerks",404060,42200,-0.4,51070,47170,"High school diploma or equivalent","Low Opportunity",21.3
"27-3091","Interpreters and Translators",52060,6900,1.7,66360,59440,"Bachelor's degree","Stable",21.1
"25-1065","Political Science Teachers, Postsecondary",16970,1600,2,108100,94680,"Doctoral or professional degree","Stable",21.0
"17-3026","Industrial Engineering Technologists and Technicians",75570,6300,1.7,70700,64790,"Associate's degree","Stable",20.8
"25-1111","Criminal Justice and Law Enforcement Teachers, Postsecondary",13150,1200,2,87550,71470,"Doctoral or professional degree","Stable",20.7
"49-9069","Precision Instrument and Equipment Repairers, All Other",9400,1000,2,71180,67080,"High school diploma or equivalent","Stable",20.6
"25-1031","Architecture Teachers, Postsecondary",7700,900,2,101250,101480,"Doctoral or professional degree","Stable",20.5
"51-3021","Butchers and Meat Cutters",136430,16900,1,42380,38960,"No formal educational credential","Stable",20.1
"21-1015","Rehabilitation Counselors",94740,10000,1.4,51820,46110,"Master's degree","Stable",20.0
"29-1124","Radiation Therapists",17070,900,1.9,114990,101990,"Associate's degree","Stable",19.5
"53-7081","Refuse and Recyclable Material Collectors",147240,16900,0.9,52820,48350,"No formal educational credential","Stable",19.1
"27-1014","Special Effects Artists and Animators",19970,5000,1.6,112870,99800,"Bachelor's degree","Stable",19.0
"53-6051","Transportation Inspectors",24500,2500,1.7,88540,85750,"High school diploma or equivalent","Stable",18.5
"43-4061","Eligibility Interviewers, Government Programs",154800,14000,1,56090,51500,"High school diploma or equivalent","Stable",18.4
"17-3029","Engineering Technologists and Technicians, Except Drafters, All Other",59930,5700,1.5,80960,77390,"Associate's degree","Stable",18.4
"29-1081","Podiatrists",9680,300,1.8,175480,152800,"Doctoral or professional degree","Stable",18.2
"25-1069","Social Sciences Teachers, Postsecondary, All Other",16580,1500,1.7,88390,75040,"Doctoral or professional degree","Stable",17.9
"51-4041","Machinists",287050,29500,0,59320,56150,"High school diploma or equivalent","Low Opportunity",17.7
"49-9097","Signal and Track Switch Repairers",8720,800,1.7,90410,83600,"High school diploma or equivalent","Stable",17.5
"33-1099","First-Line Supervisors of Protective Service Workers, All Other",20690,2100,1.6,74390,74960,"High school diploma or equivalent","Stable",17.3
"51-8099","Plant and System Operators, All Other",14080,1600,1.6,65700,61710,"High school diploma or equivalent","Stable",17.0
"19-1023","Zoologists and Wildlife Biologists",18120,1400,1.6,83020,72860,"Bachelor's degree","Stable",16.8
"47-4061","Rail-Track Laying and Maintenance Equipment Operators",19580,1100,1.6,68740,67370,"High school diploma or equivalent","Stable",16.7
"53-5031","Ship Engineers",8400,1100,1.6,111790,101320,"Postsecondary nondegree award","Stable",16.7
"51-9124","Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",158740,15800,0.7,52620,47590,"High school diploma or equivalent","Stable",16.5
"43-3099","Financial Clerks, All Other",36260,4000,1.4,56450,52150,"High school diploma or equivalent","Stable",16.4
"45-2011","Agricultural Inspectors",14410,2200,1.5,54910,50990,"Bachelor's degree","Stable",16.3
"51-4021","Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",60840,6500,1.2,49480,46980,"High school diploma or equivalent","Stable",15.9
"19-4043","Geological Technicians, Except Hydrologic Technicians",6980,1300,1.5,61870,48390,"Associate's degree","Stable",15.8
"25-2051","Special Education Teachers, Preschool",29510,2100,1.4,76380,62190,"Bachelor's degree","Stable",15.3
"49-9012","Control and Valve Installers and Repairers, Except Mechanical Door",48240,3900,1.3,76210,74690,"High school diploma or equivalent","Stable",15.3
"29-1243","Pediatric Surgeons",1190,0,1.5,502050,NULL,"Doctoral or professional degree","Stable",15.0
"41-1012","First-Line Supervisors of Non-Retail Sales Workers",214390,24800,0,99370,84130,"High school diploma or equivalent","Low Opportunity",14.9
"19-1029","Biological Scientists, All Other",55850,4800,1.2,106330,93330,"Bachelor's degree","Stable",14.9
"51-9123","Painting, Coating, and Decorating Workers",7940,800,1.4,45210,40860,"No formal educational credential","Stable",14.5
"49-9063","Musical Instrument Repairers and Tuners",5380,600,1.4,49960,45320,"High school diploma or equivalent","Stable",14.4
"47-5099","Extraction Workers, All Other",5540,700,1.4,57890,50110,"High school diploma or equivalent","Stable",14.4
"53-5022","Motorboat Operators",2480,300,1.4,56270,51880,"Postsecondary nondegree award","Stable",14.2
"43-6011","Executive Secretaries and Executive Administrative Assistants",459910,50000,-1.6,79140,74260,"High school diploma or equivalent","Low Opportunity",14.0
"27-4031","Camera Operators, Television, Video, and Film",21550,2900,1.2,83210,68810,"Bachelor's degree","Stable",13.7
"17-2171","Petroleum Engineers",18060,1200,1.3,157150,141280,"Bachelor's degree","Stable",13.7
"39-4011","Embalmers",3890,600,1.3,58390,56280,"Associate's degree","Stable",13.4
"53-2021","Air Traffic Controllers",22510,2200,1.2,146490,144580,"Associate's degree","Stable",13.3
"47-4041","Hazardous Materials Removal Workers",51710,5000,1,56430,48490,"High school diploma or equivalent","Stable",13.0
"53-4031","Railroad Conductors and Yardmasters",46440,3100,1.1,79100,74080,"High school diploma or equivalent","Stable",12.9
"17-3025","Environmental Engineering Technologists and Technicians",12190,1100,1.2,64870,58890,"Associate's degree","Stable",12.7
"21-2099","Religious Workers, All Other",15760,11100,0.6,53870,45120,"Bachelor's degree","Stable",12.7
"25-2059","Special Education Teachers, All Other",33930,2900,1.1,79750,67430,"Bachelor's degree","Stable",12.7
"19-1032","Foresters",10430,1100,1.2,79170,70660,"Bachelor's degree","Stable",12.7
"19-3011","Economists",17790,900,1.2,142130,115440,"Master's degree","Stable",12.5
"29-1218","Obstetricians and Gynecologists",21260,600,1.2,279040,NULL,"Doctoral or professional degree","Stable",12.4
"25-1194","Career/Technical Education Teachers, Postsecondary",114110,8800,0.7,72060,61490,"Bachelor's degree","Stable",12.3
"53-7031","Dredge Operators",1040,100,1.2,56120,48430,"High school diploma or equivalent","Stable",12.1
"13-2031","Budget Analysts",47160,3100,1,96370,87930,"Bachelor's degree","Stable",11.9
"27-3041","Editors",91690,9800,0.6,90060,75260,"Bachelor's degree","Stable",11.9
"17-3024","Electro-Mechanical and Mechatronics Technologists and Technicians",15520,1300,1.1,76420,70760,"Associate's degree","Stable",11.8
"27-3042","Technical Writers",45500,4500,0.9,96970,91670,"Bachelor's degree","Stable",11.7
"17-3023","Electrical and Electronic Engineering Technologists and Technicians",95130,8400,0.6,80680,77180,"Associate's degree","Stable",11.0
"51-9191","Adhesive Bonding Machine Operators and Tenders",11500,1300,1,46850,45210,"High school diploma or equivalent","Stable",10.8
"53-4022","Railroad Brake, Signal, and Switch Operators and Locomotive Firers",12400,1000,1,69030,65480,"High school diploma or equivalent","Stable",10.6
"45-2092","Farmworkers and Laborers, Crop, Nursery, and Greenhouse",265500,71700,-3.3,37630,35690,"No formal educational credential","Low Opportunity",10.0
"25-3099","Teachers and Instructors, All Other",113790,18000,-0.1,73880,64690,"Bachelor's degree","Low Opportunity",9.8
"19-3034","School Psychologists",63940,3800,0.7,99160,86930,"Master's degree","Stable",9.3
"27-1019","Artists and Related Workers, All Other",6930,1200,0.8,80530,72760,"No formal educational credential","Stable",8.7
"29-1221","Pediatricians, General",39390,1200,0.8,212110,210130,"Doctoral or professional degree","Stable",8.7
"43-4199","Information and Record Clerks, All Other",134920,17800,-0.2,51490,48360,"High school diploma or equivalent","Low Opportunity",8.7
"51-3093","Food Cooking Machine Operators and Tenders",31250,4400,0.6,42570,40550,"High school diploma or equivalent","Stable",8.6
"53-4011","Locomotive Engineers",33470,2200,0.7,85900,77400,"High school diploma or equivalent","Stable",8.3
